SELLER_TYPE,PRIX,NEUKOLLN_DEFAULT_CC_AGENCE_TEL,AGENCE_NOM,M2_TOTALE,ID_CLIENT,VILLE,CP,CATEGORIE,NEUF_IND,NEUKOLLN_ORIGINAL_PHONE_AGENCE_TEL,ANNONCE_LINK,NEUKOLLN_FROM_LISTING_PAGE,ANNONCE_TEXT,NOM,ACHAT_LOC,FROM_SITE,DEPARTEMENT,ANNONCE_DATE,AGENCE_CONTACT,MAISON_APT,PHOTO,PAYS_AD,AGENCE_TEL
pro,2108,FR,Malsch Properties,182,13239,Toussieu,69780,entrepot,N,FR,https://www.geolocaux.com/location/entrepot/toussieu-69780/location-entrepot-182-m2-non-divisible-13239.html,https://www.geolocaux.com/sitemap_entrepot.xml,"Toussieu, local d activite entierement renove disposant de 182 m2 d activite et de 128 m2 de bureaux sur deux niveaux. A louer 2100 E ht / mois charges incluses ATTENTION LES PRIX DE NOS OFFRES SONT AFFICHES HORS TAXES ET HORS CHARGES Afficher notre bar?me d'honoraires Afficher notre bar?me d'honoraires Afficher notre bar?me d'honoraires",Location Entrepôt 182 m² - Toussieu (69780),2,www.geolocaux.com,69,2019-02-18 00:00:00,Malsch Properties,,5,FR,0481681788
pro,1925,FR,Valteos,300,6241,Croissy-Beaubourg,77183,entrepot,N,FR,https://www.geolocaux.com/location/entrepot/croissy-beaubourg-77183/location-entrepot-300-m2-non-divisible-6241.html,https://www.geolocaux.com/sitemap_entrepot.xml,"Au sein d'un parc sécurisé à proximité de l'autoroute A4, VALTEOS vous propose un local d'activités de 300 m² à la location. Accès de plain-pied via porte sectionnelle.",Location Entrepôt 300 m² - Croissy-Beaubourg (77183),2,www.geolocaux.com,77,2019-02-18 00:00:00,Lucie SEPTEMBRE,,5,FR,0185530032
pro,4001,FR,Malsch Properties,485,13241,Grézieu-la-Varenne,69290,entrepot,N,FR,https://www.geolocaux.com/location/entrepot/grezieu-la-varenne-69290/location-entrepot-485-m2-divisible-13241.html,https://www.geolocaux.com/sitemap_entrepot.xml,lgrezieu la varenne - locaux d activite recents disponibles a la lcoation de 770 m2 environ comprenant des bureuax d accompagnement de bonnes qualites. ATTENTION LES PRIX DE NOS OFFRES SONT AFFICHES HORS TAXES ET HORS CHARGES Afficher notre bar?me d'honoraires Afficher notre bar?me d'honoraires Afficher notre bar?me d'honoraires,Location Entrepôt 485 m² - Grézieu-la-Varenne (69290),2,www.geolocaux.com,69,2019-02-18 00:00:00,Malsch Properties,,5,FR,0481681788
pro,1535,FR,Malsch Properties,190,19964,Vénissieux,69200,entrepot,N,FR,https://www.geolocaux.com/location/entrepot/venissieux-69200/location-entrepot-206-m2-non-divisible-19964.html,https://www.geolocaux.com/sitemap_entrepot.xml,"Venissieux 69200 A louer - Local d activite de 276m2 environ comprenant 190m2 de surface d activite et 67m2 de bureaux. Ce local situe le long d un axe frequente permet l installation d une enseigne. Il comprend 2 portes sectionelles, un espace de chargement et 3 bureaux cloisonnes. Idealement situe proche du Boulevard Peripherique des autoroutes et du Tramway T4. Le plus : un sous sol de 85m2 permettant d offrir un espace de stockage complementaire. # Contact Jerome GONTIER 06-63-29-85-18 ATTENTION LES PRIX DE NOS OFFRES SONT AFFICHES HORS TAXES ET HORS CHARGES Afficher notre bar?me d'honoraires Afficher notre bar?me d'honoraires Afficher notre bar?me d'honoraires",Location Entrepôt 190 m² - Vénissieux (69200),2,www.geolocaux.com,69,2019-02-18 00:00:00,Malsch Properties,,5,FR,0481681788
pro,70000,FR,Malsch Properties,69,23454,Saint-Étienne,42000,entrepot,N,FR,https://www.geolocaux.com/vente/entrepot/saint-etienne-42000/vente-entrepot-69-m2-non-divisible-23454.html,https://www.geolocaux.com/sitemap_entrepot.xml,"A vendre T3, immeuble annees 90, tres bien situe, tout proche centre ville de Saint-Etienne, quartier le clapier, a 1 km a peine de la place Jean Jaures. 2eme etage, une entree, un salon avec balcon, 2 chambres, une salle de bain, un wc separe, une cave +un garage. Tres belle vue parfaitement degagee. Quartier calme. Pour les visites contacter Beatrice PEREIRA au 06 66 56 33 47. ATTENTION LES PRIX DE NOS OFFRES SONT AFFICHES HORS TAXES ET HORS CHARGES Afficher notre bar?me d'honoraires Afficher notre bar?me d'honoraires Afficher notre bar?me d'honoraires",Vente Entrepôt 69 m² - Saint-Étienne (42000),1,www.geolocaux.com,42,2019-02-18 00:00:00,Malsch Properties,,,FR,0481681788
pro,4372,FR,Malsch Properties,477,19558,Rillieux-la-Pape,69140,entrepot,N,FR,https://www.geolocaux.com/location/entrepot/rillieux-la-pape-69140/location-entrepot-477-m2-divisible-19558.html,https://www.geolocaux.com/sitemap_entrepot.xml,"rillieux la pape 69140, a louer local d activite de 280m2 d atelier a louer. ces locaux de stockage ou de petite production sont equipe d une porte sectionnelle et de parkings exterieurs privatifs. possibilite de stockage complementaire + bureaux attenant. Disponible a la location immediatement. #Votre contact : Charles CANDAT 06.63.56.09.25. [email protected] ATTENTION LES PRIX DE NOS OFFRES SONT AFFICHES HORS TAXES ET HORS CHARGES Afficher notre bar?me d'honoraires Afficher notre bar?me d'honoraires Afficher notre bar?me d'honoraires",Location Entrepôt 477 m² - Rillieux-la-Pape (69140),2,www.geolocaux.com,69,2019-02-18 00:00:00,Malsch Properties,,5,FR,0481681788
pro,2525,FR,Malsch Properties,1515,13243,Décines-Charpieu,69150,entrepot,N,FR,https://www.geolocaux.com/location/entrepot/decines-charpieu-69150/location-entrepot-1515-m2-divisible-13243.html,https://www.geolocaux.com/sitemap_entrepot.xml,"Decines - Charpieu, 69150. A louer, locaux d activites et bureaux, a proximite de l avenue Roosevelt, du peripherique Laurent Bonnevay et du futur BUE(Boulevard urbain Est). Location de belles prestations situees dans un parc d activites avec gardien, video surveillance. Surface de 2271 m2 divisible en cellules de 193m2 a 1500 m2. Porte d acces de plain-pied Bureaux cloisonnes. Parkings exterieurs prevus. Disponibilite location immediate selon les lots ATTENTION LES PRIX DE NOS OFFRES SONT AFFICHES HORS TAXES ET HORS CHARGES Afficher notre bar?me d'honoraires Afficher notre bar?me d'honoraires Afficher notre bar?me d'honoraires",Location Entrepôt 1 515 m² - Décines-Charpieu (69150),2,www.geolocaux.com,69,2019-02-18 00:00:00,Malsch Properties,,5,FR,0481681788
pro,5772080,FR,Malsch Properties,4392,20457,Corbas,69960,entrepot,N,FR,https://www.geolocaux.com/vente/entrepot/corbas-69960/vente-entrepot-4392-m2-divisible-20457.html,https://www.geolocaux.com/sitemap_entrepot.xml,"Corbas 69960 Rare a vendre a louer en bordure du Boulevard Urbain Sud, au sein d un parc neuf, locaux d activites a partir de 217 m2 disponible a l ete 2015. Tres belles prestations, locaux d activites equipes de porte sectionales et certains de quais ATTENTION LES PRIX DE NOS OFFRES SONT AFFICHES HORS TAXES ET HORS CHARGES Afficher notre bar?me d'honoraires Afficher notre bar?me d'honoraires Afficher notre bar?me d'honoraires",Vente Entrepôt 4 392 m² - Corbas (69960),1,www.geolocaux.com,69,2019-02-18 00:00:00,Malsch Properties,,5,FR,0481681788
pro,595000,FR,Malsch Properties,750,19055,Cessieu,38110,entrepot,N,FR,https://www.geolocaux.com/vente/entrepot/cessieu-38110/vente-entrepot-750-m2-divisible-19055.html,https://www.geolocaux.com/sitemap_entrepot.xml,"cessieu a vendre, tres beau local d activite de 750m2 d atelier et 250m2 de bureaux et locaux sociaux disponibles a la vente. ces locaux d activite ideal pour de la production ou du stockage sont disponible a l achat rapidement apres accord. l entrepot est compose de 3 portes de plain pied. mezzanine et archives disponibles. l ensemble est eleve sur un terrain de 2283m2. Possibilite de location et de division. nous consulter.#Votre contact : Charles CANDAT 06.63.56.09.25. [email protected] ATTENTION LES PRIX DE NOS OFFRES SONT AFFICHES HORS TAXES ET HORS CHARGES Afficher notre bar?me d'honoraires Afficher notre bar?me d'honoraires Afficher notre bar?me d'honoraires",Vente Entrepôt 750 m² - Cessieu (38110),1,www.geolocaux.com,38,2019-02-18 00:00:00,Malsch Properties,,5,FR,0481681788
pro,6000,FR,Malsch Properties,1200,23230,Saint-Priest,69800,entrepot,N,FR,https://www.geolocaux.com/location/entrepot/saint-priest-69800/location-entrepot-1200-m2-divisible-23230.html,https://www.geolocaux.com/sitemap_entrepot.xml,"69800 Saint Priest. A louer local d activite de 1200 m2 divisible a partir de 400 m2. Grand terrain de 3000 m2 environ pour parkings ou stockage exterieur. Le batiment est en cours de renovation, la toiture est refaite a neuf et isolee. Possiblite d amenagements de bureaux en fonction des besoins. Hauteur sous ferme de 5 m, 2 portails coulissants, electricite en triphase 380 W. Tres bonne situation, Route de Grenoble, acces grand axes : A43, peripherique, Rocade Est... ATTENTION LES PRIX DE NOS OFFRES SONT AFFICHES HORS TAXES ET HORS CHARGES Afficher notre bar?me d'honoraires Afficher notre bar?me d'honoraires Afficher notre bar?me d'honoraires",Location Entrepôt 1 200 m² - Saint-Priest (69800),2,www.geolocaux.com,69,2019-02-18 00:00:00,Malsch Properties,,5,FR,0481681788
